draft_id,draft_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
d906a0b2-3bd3-42fc-9b76-d8e6652a8895,2022-08-19 4:15:04,30,ba311231-5624-40d8-b81d-8825f5768741,3562ff50-41e2-4db9-8eb8-ced704cb5bac,b0f8255d-0cb1-42ed-929d-50052513d591,1,Melvin Gordon,RB,8,110.88,4,100,9,45.2,1659.26,0
d9220716-29bf-40f8-8f2f-b36534157285,2022-08-07 23:09:46,30,0f07b371-a8fd-42a4-b11a-5b027a15c932,13269e9d-77dd-48dc-a62d-85d6848f5d38,f3d7cc1f-7584-4854-9d2f-c6a0ad52e989,1,Tyquan Thornton,WR,10,212.47,4,213,18,24.1,1732,0
d9acb001-2a60-4031-abd4-52028d3ed7a4,2022-05-31 9:06:27,30,367ddb69-c2a0-4c02-b1bd-065d18da9111,20b3b232-ccaf-4547-b595-ddb9699febaa,8aa7bde5-8c2b-4967-a2bb-90ed101efe2b,1,Brian Robinson,RB,14,188.17,3,195,17,70.9,1701.9,0
d9c01eee-8450-47cc-81f9-f234005ecec9,2022-08-23 3:22:42,30,9b9f52d3-8f73-4912-81f8-f5e063a541c7,efdc7ad5-e956-408c-8c95-c493fea35894,231a8c92-d8cb-4ca3-b1b2-58947f7f2768,1,Joshua Palmer,WR,8,126.9,12,132,11,71.6,1728.94,0
d9f82c40-ed01-487e-9eab-eade3dfafe4e,2022-08-27 23:14:11,30,bb4ec9cf-9772-42eb-97db-0363eb3cffd1,654b9c73-acce-4461-9bc2-596ba9423c03,695b8796-3dc1-400d-a2a2-0cef8faf74bd,1,James Conner,RB,13,34.61,3,27,3,113.3,1660.36,0
da243656-6f26-4623-a8b0-06bb5e9b6ac7,2022-05-06 19:30:35,30,8f25a442-8e5e-4441-90de-4abd00bdec98,26377c2e-6eba-4192-bd47-73812f24ca13,62b9bc01-1d2c-4274-bbde-20ad3544c2df,1,Rhamondre Stevenson,RB,10,122.36,2,119,10,149.6,1661.46,0
db35f51f-4192-4800-96cc-dfe3d712647e,2022-05-20 21:28:07,30,06610849-0b41-46c0-bb13-8428244b4e25,807679e0-095a-4134-b873-6c12732adadd,f0694217-c360-4256-8e63-a9532b187123,1,Michael Gallup,WR,9,106.41,9,112,10,21.9,1621.22,0
dbd17c3a-782f-45e1-9c66-047953b1cded,2022-08-25 21:32:58,30,fb261f31-39ef-4211-b6cd-33fb8ecbbc5e,e2ce1d2d-451b-459e-8340-1d204cd388b5,72818187-d2fd-4d4f-ad05-00e06c12ce07,1,Josh Allen,QB,7,31.69,7,31,3,296.42,1704.14,0
dc3819c6-db5b-4251-8dc9-cce01ab86e4c,2022-08-08 5:06:31,30,38879b69-1fbc-4494-b3b8-3bb788815d91,d881d5e8-1bbb-4b95-945e-04ee159b0b06,21a34758-3fc8-48c8-bc23-ed071a4ead96,1,Jakobi Meyers,WR,10,132.62,3,142,12,76.9,1681.3,0
e09e617a-5f0e-4ee9-85d2-23701172b687,2022-05-13 0:31:23,30,fa4f5bbe-7d4c-4f19-a8bc-96456cc96574,278fc60a-0107-44ba-bebd-6c769ec2d63b,c1490c22-278c-4107-8b81-2c90b2e36a78,1,Tee Higgins,WR,10,26.52,4,28,3,111.3,1771.06,0
e296bd8c-afec-4913-8a76-06be4817bbba,2022-08-10 3:37:29,30,be821905-9f14-4a5c-8a18-6f4d8fd91890,d37446c2-25db-4466-8787-409b7789975c,38284111-ff6f-4328-bfe1-45cf0ba81fa1,1,Jalen Hurts,QB,7,64.46,3,70,6,337.88,1669.94,0
e34eecaf-ca5f-4f91-997f-4ffab8d6cbec,2022-08-19 7:44:58,30,897d4b61-0226-49d2-a737-0cca81468e26,58393dad-dbf6-4610-8af1-f1dd0ae87902,b075893f-567a-48c8-9fab-32d4e076cff4,1,Robert Tonyan,TE,14,164.79,3,166,14,64.2,1635.14,0
e408aa66-277e-4b22-859b-fe24df372df8,2022-08-30 6:50:39,30,4a101720-7bcc-4d44-9197-26197cae0aa6,5390399e-4a66-4ffc-bf18-0a0c9b25855b,738d6a4d-c20f-4b3e-b67a-c679c5157781,1,Jahan Dotson,WR,14,131.29,11,131,11,32.4,1752.24,0
e41ad08f-2e31-46f4-a6cd-ad5dc882bf0d,2022-08-23 17:30:24,30,268defb6-4261-4671-9c9d-379a056c8947,4a38565c-256b-49c5-9d1a-cc13d828fdab,a26d101f-0708-47e2-96ec-05fe866453e4,1,Jahan Dotson,WR,14,137.09,12,133,12,58.1,1731.96,0
e48e8f28-e772-4616-a669-7a1f9fc6a7b1,2022-08-29 6:18:28,30,62793502-3486-4f37-b922-1c63ce3c227c,1b10f646-a459-4e95-9527-66196c34fb5c,42282e26-fed7-4668-8dbb-9e7e0876a3e2,1,Travis Kelce,TE,8,12.82,11,11,1,216.9,1628.08,0
14ce8af2-6789-4be7-9da4-9bbca7dc4995,2022-09-02 20:17:54,30,97bb94ed-d43f-4915-b3e7-fcef13bb1051,080c2d57-6542-4c78-a110-edc2309d5618,c0f5e367-a794-42cb-b185-51b6cdb4da52,1,Ja'Marr Chase,WR,10,5.66,6,6,1,146.6,1683.42,0
14d094d0-5784-430c-bc7f-b05756d7718a,2022-07-03 15:25:29,28800,d8685748-bea8-4147-95c3-6acf7250e2c5,b219034c-cf7d-4a2a-af0f-15b0217c4bda,be990960-b928-4bd1-bbec-f7052955b1c6,1,Robert Tonyan,TE,14,147.06,4,148,13,35,1600.78,0
171f1693-b0c6-4ea4-b5b9-d6517c8e32e2,2022-07-02 3:03:25,28800,c4d4feb1-2d20-4861-8b04-576661d761e9,80bdbcae-6618-45d2-b3d3-a74cefeccdf2,ae0071a7-20e2-40a3-b79f-d02c2584231b,1,Trevor Lawrence,QB,11,139.94,3,142,12,123,1951.64,0
176effcc-77e7-4d7a-80d4-76ed5d3953e4,2022-08-30 21:15:30,3600,4602a2fa-58c4-4cab-a0d7-c1a84553cd4a,2f942597-ef47-4f47-a474-0da130e7fbdd,f3ecf7c6-14d0-4700-854e-7815b9da13f5,1,Deshaun Watson,QB,9,193.57,3,190,16,17.34,1660.44,0
17785d78-cece-4dad-a286-3266ec4fafb6,2022-09-04 7:19:30,30,45a2f552-9d8c-4795-b914-2f632cb90d32,7e8294d6-84d5-4299-9290-74dd1782d0ef,e19c6ccc-14ac-41c2-acd5-dcc951f37808,1,Joshua Palmer,WR,8,121.37,5,125,11,82.6,1681.22,0
39c8b143-a382-41a1-87fd-8d3fa94ec0fa,2022-05-12 17:10:51,28800,8502e10b-5bb8-44ee-a5a0-bfc22d385217,6c9033ee-2abc-41d6-87bb-41f0455b3581,af7365d8-a434-40f8-9e53-b62ee98f5ea1,1,Alvin Kamara,RB,14,19.39,4,21,2,116,1689.28,0
3ab000a0-18ed-4938-9a56-46fcadaf8574,2022-09-02 22:07:38,30,e4f42f5f-1621-4fa8-961c-b1e9f8d2b197,53e04891-6838-4fad-86df-9799bd4fb089,2b8cf120-a2a5-4331-b652-e0ff9336a5b0,1,Breece Hall,RB,10,47.74,3,46,4,98.5,1644.14,0
